short_code,std_code,name
007820,KR7007820004,에스엠코어
008290,KR7008290009,원풍물산
008370,KR7008370009,원풍
008470,KR7008470007,부스타
008830,KR7008830002,대동기어
0091W0,KR70091W0006,신영스팩11호
009300,KR7009300005,삼아제약
009520,KR7009520008,포스코엠텍
009620,KR7009620006,삼보산업
009730,KR7009730003,이렘
009780,KR7009780008,엠에스씨
010170,KR7010170009,대한광통신
010240,KR7010240000,흥국
010280,KR7010280006,아이티센엔텍
010470,KR7010470003,오리콤
011040,KR7011040003,경동제약
011080,KR7011080009,형지I&C
011320,KR7011320009,유니크
011370,KR7011370004,서한
011560,KR7011560000,세보엠이씨
012340,KR7012340006,뉴인텍
012620,KR7012620001,원일특강
012700,KR7012700001,리드코프
012790,KR7012790002,신일제약
012860,KR7012860003,모베이스전자
013030,KR7013030002,하이록코리아
013120,KR7013120001,동원개발
013310,KR7013310008,아진산업
013720,KR7013720008,THE CUBE&
013810,KR7013810007,스페코
013990,KR7013990007,아가방컴퍼니
014100,KR7014100002,메디앙스
014190,KR7014190003,원익큐브
014200,KR7014200000,광림
014470,KR7014470009,부방
014570,KR7014570006,고려제약
014620,KR7014620009,성광벤드
014940,KR7014940001,오리엔탈정공
014950,KR7014950000,삼익제약
014970,KR7014970008,삼륭물산
015710,KR7015710007,코콤
015750,KR7015750003,성우하이텍
016100,KR7016100000,리더스코스메틱
016250,KR7016250003,SGC E&C
016600,KR7016600009,큐캐피탈
016670,KR7016670002,디모아
016790,KR7016790008,현대사료
016920,KR7016920001,카스
017000,KR7017000001,신원종합개발
017250,KR7017250002,인터엠
017480,KR7017480005,삼현철강
017510,KR7017510009,세명전기
017650,KR7017650003,대림제지
017890,KR7017890005,한국알콜
018000,KR7018000000,유니슨
018120,KR7018120006,진로발효
018290,KR7018290007,브이티
018310,KR7018310003,삼목에스폼
018620,KR7018620005,우진비앤지
018680,KR7018680009,서울제약
018700,KR7018700005,바른손
019010,KR7019010008,베뉴지
019210,KR7019210004,와이지-원
019540,KR7019540004,일지테크
019550,KR7019550003,SBI인베스트먼트
019570,KR7019570001,플루토스
019660,KR7019660000,글로본
019770,KR7019770007,서연탑메탈
019990,KR7019990001,에너토크
020180,KR7020180006,대신정보통신
020400,KR7020400008,대동금속
020710,KR7020710000,시공테크
021040,KR7021040001,대호특수강
021045,KR7021041009,대호특수강우
021080,KR7021080007,에이티넘인베스트
021320,KR7021320007,KCC건설
021650,KR7021650007,한국큐빅
021880,KR7021880000,메이슨캐피탈
022220,KR7022220008,티케이지애강
023160,KR7023160005,태광
023410,KR7023410004,유진기업
023440,KR7023440001,제이스코홀딩스
023600,KR7023600000,삼보판지
023760,KR7023760002,한국캐피탈
023770,KR7023770001,플레이위드
023790,KR7023790009,동일스틸럭스
023900,KR7023900004,풍국주정
023910,KR7023910003,대한약품
024060,KR7024060006,흥구석유
024120,KR7024120008,KB오토시스
024740,KR7024740003,한일단조
024800,KR7024800005,유성티엔에스
024830,KR7024830002,세원물산
024840,KR7024840001,KBI메탈
024850,KR7024850000,HLB이노베이션
024880,KR7024880007,케이피에프
024910,KR7024910002,경창산업
024940,KR7024940009,PN풍년
024950,KR7024950008,삼천리자전거
025320,KR7025320003,시노펙스
025440,KR7025440009,DH오토웨어
025550,KR7025550005,한국선재
025770,KR7025770009,한국정보통신
025870,KR7025870007,신라에스지
025880,KR7025880006,케이씨피드
025900,KR7025900002,동화기업
025950,KR7025950007,동신건설
025980,KR7025980004,아난티
026040,KR7026040006,제이에스티나
026150,KR7026150003,특수건설
026910,KR7026910000,광진실업
027040,KR7027040005,서울전자통신
027050,KR7027050004,코리아나
027360,KR7027360007,아주IB투자
027580,KR7027580000,상보
027710,KR7027710003,팜스토리
027830,KR7027830009,대성창투
028080,KR7028080000,휴맥스홀딩스
028300,KR7028300002,HLB
029480,KR7029480001,광무
030350,KR7030350003,드래곤플라이
030520,KR7030520001,한글과컴퓨터
030530,KR7030530000,원익홀딩스
030960,KR7030960009,양지사
031310,KR7031310006,아이즈비전
031330,KR7031330004,에스에이엠티
031510,KR7031510001,오스템
031860,KR7031860000,디에이치엑스컴퍼니
031980,KR7031980006,피에스케이홀딩스
032080,KR7032080004,아즈텍WB
032190,KR7032190001,다우데이타
032280,KR7032280000,삼일
032300,KR7032300006,한국파마
032500,KR7032500001,케이엠더블유
032540,KR7032540007,TJ미디어
032580,KR7032580003,피델릭스
032620,KR7032620007,유비케어
032680,KR7032680001,소프트센
032685,KR7032681009,소프트센우
032750,KR7032750002,삼진
032790,KR7032790008,엠젠솔루션
032800,KR7032800005,판타지오
032820,KR7032820003,우리기술
032850,KR7032850000,비트컴퓨터
032860,KR7032860009,더라미
032940,KR7032940009,원익
032960,KR7032960007,동일기연
032980,KR7032980005,바이온
033050,KR7033050006,제이엠아이
033100,KR7033100009,제룡전기
033130,KR7033130006,디지틀조선
033160,KR7033160003,엠케이전자
033170,KR7033170002,시그네틱스
033200,KR7033200007,모아텍
033230,KR7033230004,인성정보
033290,KR7033290008,코웰패션
033310,KR7033310004,엠투엔
033320,KR7033320003,제이씨현시스템
033340,KR7033340001,좋은사람들
033500,KR7033500000,동성화인텍
033540,KR7033540006,파라텍
033560,KR7033560004,블루콤
033640,KR7033640004,네패스
033790,KR7033790007,피노
033830,KR7033830001,티비씨
034810,KR7034810002,해성산업
03481K,KR703481K019,해성산업1우
034940,KR7034940007,조아제약
034950,KR7034950006,한국기업평가
035080,KR7035080001,그래디언트
035200,KR7035200005,프럼파스트
035290,KR7035290006,골드앤에스
035460,KR7035460005,기산텔레콤
035600,KR7035600006,KG이니시스
035610,KR7035610005,솔본
035620,KR7035620004,바른손이앤에이
035760,KR7035760008,CJ ENM
035810,KR7035810001,이지홀딩스
035890,KR7035890003,서희건설
035900,KR7035900000,JYP Ent.
036000,KR7036000008,예림당
036010,KR7036010007,아비코전자
036030,KR7036030005,케이티알파
036090,KR7036090009,위지트
036120,KR7036120004,서울평가정보
036170,KR7036170009,에이치엠넥스
036180,KR7036180008,지더블유바이텍
036190,KR7036190007,금화피에스시
036200,KR7036200004,유니셈
036220,KR7036220002,오상헬스케어
036480,KR7036480002,대성미생물
036540,KR7036540003,SFA반도체
036560,KR7036560001,KZ정밀
036620,KR7036620003,감성코퍼레이션
036630,KR7036630002,세종텔레콤
036640,KR7036640001,HRS
036670,KR7036670008,삼양케이씨아이
036690,KR7036690006,코맥스
036710,KR7036710002,심텍홀딩스
036800,KR7036800001,나이스정보통신
036810,KR7036810000,에프에스티
036830,KR7036830008,솔브레인홀딩스
036890,KR7036890002,진성티이씨
036930,KR7036930006,주성엔지니어링
037030,KR7037030004,파워넷
037070,KR7037070000,파세코
037230,KR7037230000,한국팩키지
037330,KR7037330008,인지디스플레
037350,KR7037350006,성도이엔지
037370,KR7037370004,EG
037400,KR7037400009,우리엔터프라이즈
037440,KR7037440005,희림
037460,KR7037460003,삼지전자
037760,KR7037760006,쎄니트
037950,KR7037950003,엘컴텍
038010,KR7038010005,제일테크노스
038060,KR7038060000,루멘스
038070,KR7038070009,서린바이오
038110,KR7038110003,에코플라스틱
038290,KR7038290003,마크로젠
038390,KR7038390001,레드캡투어
038460,KR7038460002,바이오스마트
038500,KR7038500005,삼표시멘트
038530,KR7038530002,케이바이오
038540,KR7038540001,상상인
038620,KR7038620001,위즈코프
038680,KR7038680005,에스넷
038870,KR7038870002,에코바이오
038880,KR7038880001,아이에이
038950,KR7038950002,파인디지털
039010,KR7039010004,현대에이치티
039020,KR7039020003,이건홀딩스
039030,KR7039030002,이오테크닉스
039200,KR7039200001,오스코텍
039240,KR7039240007,경남스틸
039290,KR7039290002,인포뱅크
039310,KR7039310008,세중
039340,KR7039340005,한국경제TV
039420,KR7039420005,케이엘넷
039440,KR7039440003,에스티아이
039560,KR7039560008,다산네트웍스
039610,KR7039610001,화성밸브
039740,KR7039740006,한국정보공학
039830,KR7039830005,오로라
039840,KR7039840004,디오
039860,KR7039860002,나노엔텍
039980,KR7039980008,폴라리스AI
040160,KR7040160004,누리플렉스
040300,KR7040300006,YTN
040350,KR7040350001,크레오에스지
040420,KR7040420002,정상제이엘에스
040610,KR7040610008,SG&G
040910,KR7040910002,아이씨디
041020,KR7041020009,폴라리스오피스
041190,KR7041190000,우리기술투자
041440,KR7041440009,현대에버다임
041460,KR7041460007,한국전자인증
041510,KR7041510009,에스엠
041520,KR7041520008,이엘씨
041590,KR7041590001,플래스크
041830,KR7041830001,인바디
041910,KR7041910001,폴라리스AI파마
041920,KR7041920000,메디아나
041930,KR7041930009,동아화성
041960,KR7041960006,코미팜
042000,KR7042000000,카페24
042040,KR7042040006,케이피엠테크
042110,KR7042110007,에스씨디
042370,KR7042370007,비츠로테크
042420,KR7042420000,네오위즈홀딩스
042500,KR7042500009,링네트
042510,KR7042510008,라온시큐어
042520,KR7042520007,한스바이오메드
042600,KR7042600007,새로닉스
042940,KR7042940007,상지건설
043090,KR7043090000,더테크놀로지
043100,KR7043100007,알파녹스
043150,KR7043150002,바텍
043200,KR7043200005,파루
043220,KR7043220003,티에스넥스젠
043260,KR7043260009,성호전자
043340,KR7043340009,에쎈테크
043360,KR7043360007,디지아이
043370,KR7043370006,피에이치에이
043590,KR7043590009,웰킵스하이텍
043610,KR7043610005,KT지니뮤직
043650,KR7043650001,국순당
043710,KR7043710003,서울리거
043910,KR7043910009,자연과환경
044180,KR7044180008,KD
044340,KR7044340008,위닉스
044480,KR7044480002,빌리언스
044490,KR7044490001,태웅
044780,KR7044780005,에이치케이
044960,KR7044960003,이글벳
044990,KR7044990000,에이치엔에스하이텍
045060,KR7045060001,오공
045100,KR7045100005,한양이엔지
045300,KR7045300001,성우테크론
045340,KR7045340007,토탈소프트
045390,KR7045390002,대아티아이
045510,KR7045510005,정원엔시스
045520,KR7045520004,크린앤사이언스
045660,KR7045660008,에이텍
045970,KR7045970001,코아시아
046070,KR7046070009,코다코
046120,KR7046120002,오르비텍
046210,KR7046210001,HLB파나진
046310,KR7046310009,백금T&A
046390,KR7046390001,삼화네트웍스
046440,KR7046440004,KG모빌리언스
046890,KR7046890000,서울반도체
046940,KR7046940003,우원개발
046970,KR7046970000,우리로
047080,KR7047080007,한빛소프트
047310,KR7047310008,파워로직스
047560,KR7047560008,이스트소프트
047770,KR7047770003,코데즈컴바인
047820,KR7047820006,초록뱀미디어
047920,KR7047920004,HLB제약
048410,KR7048410005,현대바이오
048430,KR7048430003,유라테크
048470,KR7048470009,대동스틸
048530,KR7048530000,인트론바이오
048550,KR7048550008,SM C&C
048770,KR7048770002,TPC
048830,KR7048830004,엔피케이
048870,KR7048870000,시너지이노베이션
048910,KR7048910004,대원미디어
049070,KR7049070006,인탑스
049080,KR7049080005,기가레인
049120,KR7049120009,파인디앤씨
049180,KR7049180003,셀루메드
049430,KR7049430002,코메론
049470,KR7049470008,비트플래닛
049480,KR7049480007,오픈베이스
049520,KR7049520000,유아이엘
049550,KR7049550007,잉크테크
049630,KR7049630007,재영솔루텍
049720,KR7049720006,고려신용정보
049830,KR7049830003,승일
049950,KR7049950009,미래컴퍼니
049960,KR7049960008,쎌바이오텍
050090,KR7050090000,비케이홀딩스
050110,KR7050110006,캠시스
050120,KR7050120005,ES큐브
050760,KR7050760008,에스폴리텍
050860,KR7050860006,아세아텍
050890,KR7050890003,쏠리드
050960,KR7050960004,수산아이앤티
051160,KR7051160000,지어소프트
051360,KR7051360006,토비스
051370,KR7051370005,인터플렉스
051380,KR7051380004,피씨디렉트
051390,KR7051390003,YW
051490,KR7051490001,나라엠앤디
051500,KR7051500007,CJ프레시웨이
051780,KR7051780005,큐로홀딩스
051980,KR7051980001,중앙첨단소재
052020,KR7052020005,에스티큐브
052220,KR7052220001,iMBC
052260,KR7052260007,현대바이오랜드
052300,KR7052300001,오션인더블유
052330,KR7052330008,코텍
052400,KR7052400009,코나아이
052420,KR7052420007,오성첨단소재
052460,KR7052460003,아이크래프트
052600,KR7052600004,한네트
052670,KR7052670007,제일바이오
052710,KR7052710001,아모텍
052770,KR7052770005,아이톡시
052790,KR7052790003,액토즈소프트
052860,KR7052860004,아이앤씨
052900,KR7052900008,KX하이텍
053030,KR7053030003,바이넥스
053050,KR7053050001,지에스이
053060,KR7053060000,세동
053080,KR7053080008,케이엔솔
053160,KR7053160008,프리엠스
053260,KR7053260006,금강철강
053270,KR7053270005,구영테크
053280,KR7053280004,예스24
053290,KR7053290003,NE능률
053300,KR7053300000,한국정보인증
053350,KR7053350005,이니텍
053450,KR7053450003,세코닉스
053580,KR7053580007,웹케시
053610,KR7053610002,프로텍
053620,KR7053620001,태양
053700,KR7053700001,삼보모터스
053800,KR7053800009,안랩
053950,KR7053950002,경남제약
053980,KR7053980009,오상자이엘
054040,KR7054040001,한국컴퓨터
054050,KR7054050000,농우바이오
054090,KR7054090006,삼진엘앤디
054180,KR7054180005,메디콕스
054210,KR7054210000,이랜텍
054220,KR7054220009,비츠로시스
054300,KR7054300009,팬스타엔터프라이즈
054410,KR7054410006,케이피티유
054450,KR7054450002,텔레칩스
054540,KR7054540000,삼영엠텍
054620,KR7054620000,APS
054630,KR7054630009,에이디칩스
054670,KR7054670005,대한뉴팜
054780,KR7054780002,키이스트
054800,KR7054800008,아이디스홀딩스
054920,KR7054920004,한컴위드
054930,KR7054930003,유신
054940,KR7054940002,엑사이엔씨
054950,KR7054950001,제이브이엠
056080,KR7056080005,유진로봇
056090,KR7056090004,시지메드텍
056190,KR7056190002,에스에프에이
056360,KR7056360001,코위버
056700,KR7056700008,신화인터텍
056730,KR7056730005,CNT85
057030,KR7057030009,YBM넷
057540,KR7057540007,옴니시스템
057680,KR7057680001,티사이언티픽
057880,KR7057880007,푸른소나무
058110,KR7058110008,멕아이씨에스
058400,KR7058400003,KNN
058450,KR7058450008,한주에이알티
058470,KR7058470006,리노공업
058610,KR7058610007,에스피지
058630,KR7058630005,엠게임
058820,KR7058820002,CMG제약
058970,KR7058970005,엠로
059090,KR7059090001,미코
059100,KR7059100008,아이컴포넌트
059120,KR7059120006,아진엑스텍
059210,KR7059210005,메타바이오메드
059270,KR7059270009,해성에어로보틱스
060150,KR7060150000,인선이엔티
060230,KR7060230000,제이케이시냅스
060240,KR7060240009,스타코링크
060250,KR7060250008,NHN KCP
060260,KR7060260007,뉴보텍
060280,KR7060280005,큐렉소
060310,KR7060310000,3S
060370,KR7060370004,LS마린솔루션
060380,KR7060380003,동양에스텍
060480,KR7060480001,국일신동
060540,KR7060540002,에스에이티
060560,KR7060560000,HC홈센타
060570,KR7060570009,드림어스컴퍼니
060590,KR7060590007,씨티씨바이오
060720,KR7060720000,KH바텍
060850,KR7060850005,영림원소프트랩
060900,KR7060900008,DGP
061040,KR7061040002,알에프텍
061090,KR7061090007,세나테크놀로지
061250,KR7061250007,화일약품
061970,KR7061970000,LB세미콘
062970,KR7062970009,한국첨단소재
063080,KR7063080006,컴투스홀딩스
063170,KR7063170005,서울옥션
063440,KR7063440002,SM Life Design
063570,KR7063570006,NICE인프라
063760,KR7063760003,이엘피
064090,KR7064090004,인크레더블버즈
064240,KR7064240005,홈캐스트
064260,KR7064260003,다날
064290,KR7064290000,인텍플러스
064480,KR7064480007,브리지텍
064520,KR7064520000,테크엘
064550,KR7064550007,바이오니아
064760,KR7064760002,티씨케이
064800,KR7064800006,포니링크
064820,KR7064820004,케이프
064850,KR7064850001,에프앤가이드
065060,KR7065060006,지엔코
065130,KR7065130007,탑엔지니어링
065150,KR7065150005,대산F&B
065170,KR7065170003,비엘팜텍
065350,KR7065350001,신성델타테크
065370,KR7065370009,위세아이텍
065420,KR7065420002,에스아이리소스
065440,KR7065440000,이루온
065450,KR7065450009,빅텍
065500,KR7065500001,오리엔트정공
065510,KR7065510000,휴비츠
065530,KR7065530008,와이어블
065570,KR7065570004,삼영이엔씨
065650,KR7065650004,하이퍼코퍼레이션
065660,KR7065660003,안트로젠
065680,KR7065680001,우주일렉트로
065690,KR7065690000,파커스
065710,KR7065710006,서호전기
065770,KR7065770000,CS
065950,KR7065950008,웰크론
066130,KR7066130006,하츠
066310,KR7066310004,큐에스아이
066360,KR7066360009,체리부로
066410,KR7066410002,버킷스튜디오
066430,KR7066430000,아이로보틱스
066590,KR7066590001,우수AMS
066620,KR7066620006,국보디자인
066670,KR7066670001,디티씨
066700,KR7066700006,테라젠이텍스
066790,KR7066790007,씨씨에스
066900,KR7066900002,디에이피
066910,KR7066910001,손오공
066980,KR7066980004,한성크린텍
067000,KR7067000000,조이시티
067010,KR7067010009,이씨에스
067080,KR7067080002,대화제약
067160,KR7067160002,SOOP
067170,KR7067170001,오텍
067280,KR7067280008,멀티캠퍼스
067290,KR7067290007,JW신약
067310,KR7067310003,하나마이크론
067370,KR7067370007,선바이오
067390,KR7067390005,아스트
067570,KR7067570002,엔브이에이치코리아
067630,KR7067630004,HLB생명과학
067730,KR7067730002,로지시스
067770,KR7067770008,세진티에스
067900,KR7067900001,와이엔텍
067920,KR7067920009,이글루
067990,KR7067990002,도이치모터스
068050,KR7068050004,팬엔터테인먼트
068100,KR7068100007,케이웨더
068240,KR7068240001,다원시스
068330,KR7068330000,일신바이오
068760,KR7068760008,셀트리온제약
068790,KR7068790005,DMS
068930,KR7068930007,디지털대성
068940,KR7068940006,셀피글로벌
069080,KR7069080000,웹젠
069140,KR7069140002,누리플랜
069330,KR7069330009,유아이디
069410,KR7069410009,엔텔스
069510,KR7069510006,에스텍
069540,KR7069540003,빛과전자
069920,KR7069920007,엑시온그룹
070300,KR7070300009,엑스큐어
070590,KR7070590005,한솔인티큐브
071200,KR7071200000,인피니트헬스케어
071280,KR7071280002,로체시스템즈
071670,KR7071670004,에이테크솔루션
071850,KR7071850002,캐스텍코리아
072020,KR7072020001,중앙백신
072470,KR7072470008,우리산업홀딩스
072770,KR7072770001,율호
072870,KR7072870009,메가스터디
072950,KR7072950009,빛샘전자
072990,KR7072990005,에이치시티
073010,KR7073010001,케이에스피
073110,KR7073110009,엘엠에스
073190,KR7073190001,듀오백
073490,KR7073490005,이노와이어리스
073540,KR7073540007,에프알텍
073560,KR7073560005,우리손에프앤지
073570,KR7073570004,리튬포어스
073640,KR7073640005,테라사이언스
074430,KR7074430000,아미노로직스
074600,KR7074600008,원익QnC
075130,KR7075130005,플랜티넷
075970,KR7075970004,동국알앤에스
076080,KR7076080001,웰크론한텍
076610,KR7076610005,해성옵틱스
077360,KR7077360006,덕산하이메탈
078020,KR7078020005,LS증권
078070,KR7078070000,유비쿼스홀딩스
078130,KR7078130002,국일제지
078140,KR7078140001,대봉엘에스
078150,KR7078150000,HB테크놀러지
078160,KR7078160009,메디포스트
078340,KR7078340007,컴투스
078350,KR7078350006,한양디지텍
078590,KR7078590007,휴림에이텍
078600,KR7078600004,대주전자재료
078860,KR7078860004,엔에스이엔엠
